curve_id,category,source,size_bin,algorithm,compression_target,original_vertices,simplified_vertices,achieved_compression,max_perp_error,hausdorff,runtime_ms
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,DP,0.3,2,2,0.0,0.0,0.0,0.003600027412176132
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,VW,0.3,2,2,0.0,0.0,0.0,0.0019999570213258266
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,DP,0.5,2,2,0.0,0.0,0.0,0.001500011421740055
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,VW,0.5,2,2,0.0,0.0,0.0,0.001600012183189392
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,DP,0.7,2,2,0.0,0.0,0.0,0.000500003807246685
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,VW,0.7,2,2,0.0,0.0,0.0,0.000900006853044033
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,DP,0.9,2,2,0.0,0.0,0.0,0.000500003807246685
UNNAMED_107,Mechanical,Proposed_Trails.geojson,small,VW,0.9,2,2,0.0,0.0,0.0,0.000600004568696022
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,DP,0.3,2,2,0.0,0.0,0.0,0.000500003807246685
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,VW,0.3,2,2,0.0,0.0,0.0,0.000600004568696022
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,DP,0.5,2,2,0.0,0.0,0.0,0.00039994483813643456
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,VW,0.5,2,2,0.0,0.0,0.0,0.000500003807246685
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,DP,0.7,2,2,0.0,0.0,0.0,0.000300002284348011
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,VW,0.7,2,2,0.0,0.0,0.0,0.00039994483813643456
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,DP,0.9,2,2,0.0,0.0,0.0,0.000400003045797348
UNNAMED_13,Mechanical,Proposed_Trails.geojson,small,VW,0.9,2,2,0.0,0.0,0.0,0.000500003807246685
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,DP,0.3,2,2,0.0,0.0,0.0,0.001500011421740055
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,VW,0.3,2,2,0.0,0.0,0.0,0.000800006091594696
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,DP,0.5,2,2,0.0,0.0,0.0,0.000400003045797348
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,VW,0.5,2,2,0.0,0.0,0.0,0.000600004568696022
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,DP,0.7,2,2,0.0,0.0,0.0,0.000300002284348011
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,VW,0.7,2,2,0.0,0.0,0.0,0.000400003045797348
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,DP,0.9,2,2,0.0,0.0,0.0,0.000400003045797348
UNNAMED_161,Mechanical,Proposed_Trails.geojson,small,VW,0.9,2,2,0.0,0.0,0.0,0.000400003045797348
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,DP,0.3,3,3,0.0,0.0,0.0,0.000700005330145359
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,VW,0.3,3,3,0.0,0.0,0.0,0.000700005330145359
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,DP,0.5,3,2,0.33333333333333337,4.674362361806757e-05,0.0007821206386602584,0.10489998385310173
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,VW,0.5,3,2,0.33333333333333337,4.674362361806757e-05,0.0007821206386602584,0.032400013878941536
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,DP,0.7,3,2,0.33333333333333337,4.674362361806757e-05,0.0007821206386602584,0.14259997988119721
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,VW,0.7,3,2,0.33333333333333337,4.674362361806757e-05,0.0007821206386602584,0.1846999512054026
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,DP,0.9,3,2,0.33333333333333337,4.674362361806757e-05,0.0007821206386602584,0.12749998131766915
UNNAMED_109,Mechanical,Proposed_Trails.geojson,small,VW,0.9,3,2,0.33333333333333337,4.674362361806757e-05,0.0007821206386602584,0.015300000086426735
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,DP,0.3,3,3,0.0,0.0,0.0,0.001300009898841381
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,VW,0.3,3,3,0.0,0.0,0.0,0.00100000761449337
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,DP,0.5,3,2,0.33333333333333337,0.00010376509539940536,0.0005414075868396379,0.15159999020397663
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,VW,0.5,3,2,0.33333333333333337,0.00010376509539940536,0.0005414075868396379,0.01580000389367342
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,DP,0.7,3,2,0.33333333333333337,0.00010376509539940536,0.0005414075868396379,0.1517999917268753
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,VW,0.7,3,2,0.33333333333333337,0.00010376509539940536,0.0005414075868396379,0.015099998563528061
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,DP,0.9,3,2,0.33333333333333337,0.00010376509539940536,0.0005414075868396379,0.21970004308968782
UNNAMED_122,Mechanical,Proposed_Trails.geojson,small,VW,0.9,3,2,0.33333333333333337,0.00010376509539940536,0.0005414075868396379,0.021299987565726042
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,DP,0.3,3,3,0.0,0.0,0.0,0.001500011421740055
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,VW,0.3,3,3,0.0,0.0,0.0,0.001300009898841381
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,DP,0.5,3,2,0.33333333333333337,6.349697006933012e-05,0.0005344625963217306,0.13149995356798172
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,VW,0.5,3,2,0.33333333333333337,6.349697006933012e-05,0.0005344625963217306,0.015500001609325409
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,DP,0.7,3,2,0.33333333333333337,6.349697006933012e-05,0.0005344625963217306,0.15300000086426735
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,VW,0.7,3,2,0.33333333333333337,6.349697006933012e-05,0.0005344625963217306,0.014999997802078724
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,DP,0.9,3,2,0.33333333333333337,6.349697006933012e-05,0.0005344625963217306,0.13000000035390258
UNNAMED_148,Mechanical,Proposed_Trails.geojson,small,VW,0.9,3,2,0.33333333333333337,6.349697006933012e-05,0.0005344625963217306,0.015300000086426735
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,DP,0.3,3,3,0.0,0.0,0.0,0.0010999501682817936
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,VW,0.3,3,3,0.0,0.0,0.0,0.001100008375942707
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,DP,0.5,3,2,0.33333333333333337,7.460240971991282e-05,0.0005916702335336073,0.1686000032350421
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,VW,0.5,3,2,0.33333333333333337,7.460240971991282e-05,0.0005916702335336073,0.014899997040629387
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,DP,0.7,3,2,0.33333333333333337,7.460240971991282e-05,0.0005916702335336073,0.12600002810359
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,VW,0.7,3,2,0.33333333333333337,7.460240971991282e-05,0.0005916702335336073,0.011999974958598614
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,DP,0.9,3,2,0.33333333333333337,7.460240971991282e-05,0.0005916702335336073,0.1493000308983028
UNNAMED_357,Mechanical,Proposed_Trails.geojson,small,VW,0.9,3,2,0.33333333333333337,7.460240971991282e-05,0.0005916702335336073,0.014400051441043615
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,DP,0.3,4,3,0.25,2.9602492798566425e-05,0.0003900005733009224,0.22500002523884177
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,VW,0.3,4,3,0.25,2.9602492798566425e-05,0.0003900005733009224,0.017300015315413475
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,DP,0.5,4,2,0.5,0.00016097283975899173,0.0010586489793769222,0.18750003073364496
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,VW,0.5,4,2,0.5,0.00016097283975899173,0.0010586489793769222,0.03779999678954482
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,DP,0.7,4,2,0.5,0.00016097283975899173,0.0010586489793769222,0.18480001017451286
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,VW,0.7,4,2,0.5,0.00016097283975899173,0.0010586489793769222,0.01580000389367342
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,DP,0.9,4,2,0.5,0.00016097283975899173,0.0010586489793769222,0.21109997760504484
UNNAMED_128,Mechanical,Proposed_Trails.geojson,small,VW,0.9,4,2,0.5,0.00016097283975899173,0.0010586489793769222,0.020200037397444248
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,DP,0.3,4,3,0.25,5.570781392155103e-05,0.00012323924256998713,0.2193999825976789
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,VW,0.3,4,3,0.25,6.026761468207022e-05,0.00012323924256998713,0.016400008462369442
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,DP,0.5,4,2,0.5,8.010588057112121e-05,0.0021640562902836705,0.17140002455562353
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,VW,0.5,4,2,0.5,8.010588057112121e-05,0.0021640562902836705,0.016499951016157866
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,DP,0.7,4,2,0.5,8.010588057112121e-05,0.0021640562902836705,0.17910002497956157
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,VW,0.7,4,2,0.5,8.010588057112121e-05,0.0021640562902836705,0.04800001624971628
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,DP,0.9,4,2,0.5,8.010588057112121e-05,0.0021640562902836705,0.17549999756738544
UNNAMED_356,Mechanical,Proposed_Trails.geojson,small,VW,0.9,4,2,0.5,8.010588057112121e-05,0.0021640562902836705,0.018000020645558834
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,DP,0.3,5,4,0.19999999999999996,2.9191979409018804e-05,0.0005872517874778717,0.31540001509711146
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,VW,0.3,5,4,0.19999999999999996,2.9191979409018804e-05,0.0005872517874778717,0.01899997005239129
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,DP,0.5,5,3,0.4,6.615001344616802e-05,0.0005872517874778717,0.3434999962337315
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,VW,0.5,5,3,0.4,6.615001344616802e-05,0.0005872517874778717,0.025900022592395544
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,DP,0.7,5,2,0.6,0.00019682416750604046,0.0006807532783664956,0.23360003251582384
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,VW,0.7,5,2,0.6,0.00019682416750604046,0.0006807532783664956,0.02300000051036477
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,DP,0.9,5,2,0.6,0.00019682416750604046,0.0006807532783664956,0.2578999847173691
UNNAMED_11,Mechanical,Proposed_Trails.geojson,small,VW,0.9,5,2,0.6,0.00019682416750604046,0.0006807532783664956,0.023699947632849216
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,DP,0.3,6,5,0.16666666666666663,0.0003333112408727574,0.008319439325617654,0.5015000351704657
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,VW,0.3,6,5,0.16666666666666663,0.0003333112408727574,0.008319439325617654,0.033400021493434906
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,DP,0.5,6,3,0.5,0.0015676822657287536,0.010934343405810622,0.3711999743245542
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,VW,0.5,6,3,0.5,0.0015676822657287536,0.010934343405810622,0.037299992982298136
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,DP,0.7,6,2,0.6666666666666667,0.0036631106812904882,0.018366441344806222,0.2891999902203679
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,VW,0.7,6,2,0.6666666666666667,0.0036631106812904882,0.018366441344806222,0.03239995567128062
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,DP,0.9,6,2,0.6666666666666667,0.0036631106812904882,0.018366441344806222,0.2863999688997865
Morro bay to cayucos connector,Mechanical,Proposed_Trails.geojson,small,VW,0.9,6,2,0.6666666666666667,0.0036631106812904882,0.018366441344806222,0.029199989512562752
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,DP,0.3,7,5,0.2857142857142857,3.692390068563707e-05,0.0008639586554588436,0.5601999582722783
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,VW,0.3,7,5,0.2857142857142857,3.692390068563707e-05,0.0008639586554588436,0.030800001695752144
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,DP,0.5,7,4,0.4285714285714286,7.770080225653543e-05,0.0008639586554588436,0.5123000009916723
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,VW,0.5,7,4,0.4285714285714286,7.770080225653543e-05,0.0008639586554588436,0.036999990697950125
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,DP,0.7,7,3,0.5714285714285714,0.00016077979142722936,0.001262978870499063,0.3449000068940222
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,VW,0.7,7,3,0.5714285714285714,0.00016077979142722936,0.001262978870499063,0.02789997961372137
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,DP,0.9,7,2,0.7142857142857143,0.0008392606466663247,0.0025472688237768927,0.23390003480017185
UNNAMED_106,Mechanical,Proposed_Trails.geojson,small,VW,0.9,7,2,0.7142857142857143,0.0008392606466663247,0.0025472688237768927,0.026800029445439577
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.3,9,7,0.2222222222222222,4.903500750552771e-05,0.0004385895743557922,0.4856999730691314
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.3,9,7,0.2222222222222222,7.911678959668058e-05,0.00027576817541446547,0.02370000584051013
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.5,9,5,0.4444444444444444,7.540044901395497e-05,0.0015309034449636119,0.457499991171062
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.5,9,5,0.4444444444444444,7.911678959668058e-05,0.0004385895743557922,0.029399991035461426
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.7,9,3,0.6666666666666667,8.156948724074533e-05,0.0015309034449636119,0.3749000024981797
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.7,9,3,0.6666666666666667,8.156948724074533e-05,0.0015309034449636119,0.02970005152747035
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.9,9,2,0.7777777777777778,0.00039045977204732636,0.0026912598142835847,0.3643999807536602
Creston to Salinas River Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.9,9,2,0.7777777777777778,0.00039045977204732636,0.0026912598142835847,0.03589998232200742
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.3,10,7,0.30000000000000004,0.00010307637027729075,0.0006147332070226671,0.721599964890629
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.3,10,7,0.30000000000000004,7.04024835669223e-05,0.0006851962049867913,0.03860000288113952
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.5,10,5,0.5,0.0001539272789760155,0.001085250714642452,0.9543999913148582
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.5,10,5,0.5,0.00016128092360211902,0.0011004780117344372,0.0391000066883862
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.7,10,4,0.6,0.00028904861987014927,0.001391314118200697,0.7612000335939229
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.7,10,4,0.6,0.0002655381653465773,0.0011004780117344372,0.05470000905916095
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,DP,0.9,10,2,0.8,0.0012565120494998174,0.0034592819873193862,0.6274000043049455
Creston to Paso Robles Trail,Mechanical,Proposed_Trails.geojson,small,VW,0.9,10,2,0.8,0.0012565120494998174,0.0034592819873193862,0.06450002547353506
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,DP,0.3,14,10,0.2857142857142857,8.09571507368838e-05,0.0005154852115857209,1.6883000498637557
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,VW,0.3,14,10,0.2857142857142857,8.753555004724177e-05,0.0005430991878361917,0.07130001904442906
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,DP,0.5,14,6,0.5714285714285714,0.00010242475706159696,0.0016793769523593854,1.5024000313133001
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,VW,0.5,14,7,0.5,0.0001242872530415344,0.0016629344939236236,0.0792999635450542
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,DP,0.7,14,5,0.6428571428571428,0.0001598243654453962,0.0016793769523593854,0.908499991055578
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,VW,0.7,14,5,0.6428571428571428,0.0002699813507639817,0.0024346715666292225,0.05449994932860136
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,DP,0.9,14,2,0.8571428571428572,0.0024667888510799957,0.005762251117986887,0.4388000234030187
UNNAMED_145,Mechanical,Proposed_Trails.geojson,small,VW,0.9,14,2,0.8571428571428572,0.0024667888510799957,0.005762251117986887,0.05329999839887023
Cypress Mountain to Cambria,Mechanical,Proposed_Trails.geojson,small,DP,0.3,19,14,0.26315789473684215,9.33921659229998e-05,0.001088457807187224,1.6547999694012105
Cypress Mountain to Cambria,Mechanical,Proposed_Trails.geojson,small,VW,0.3,19,14,0.26315789473684215,0.0001003821387381648,0.0006694355027350647,0.0751999905332923
